"WHO region","Year","Maternal mortality ratio (per 100 000 live births)","Number of maternal deaths"
"Europe"," 2012","15 [15-16]","1 700 [1 700 - 1 900]"
"Europe"," 2011","16 [15-17]","1 800 [1 700 - 1 900]"
"Europe"," 2010","17 [16-18]","1 900 [1 800 - 2 000]"
"Europe"," 2009","17 [17-19]","2 000 [1 900 - 2 100]"
"Europe"," 2008","18 [18-20]","2 100 [2 000 - 2 200]"
"Europe"," 2007","19 [18-21]","2 100 [2 000 - 2 300]"
"Europe"," 2006","20 [19-22]","2 200 [2 100 - 2 300]"
"Europe"," 2005","22 [21-24]","2 300 [2 200 - 2 500]"
"Europe"," 2004","23 [22-24]","2 400 [2 300 - 2 600]"
"Europe"," 2003","24 [23-26]","2 500 [2 400 - 2 700]"
"Europe"," 2002","25 [24-27]","2 600 [2 400 - 2 800]"
"Europe"," 2001","26 [25-28]","2 700 [2 500 - 2 900]"
"Europe"," 2000","27 [25-29]","2 800 [2 600 - 3 000]"
"Eastern Mediterranean"," 2017","164 [138-217]","30 000 [25 000 - 39 000]"
"Eastern Mediterranean"," 2016","169 [142-222]","30 000 [26 000 - 40 000]"
"Eastern Mediterranean"," 2015","175 [150-226]","31 000 [27 000 - 40 000]"
"Eastern Mediterranean"," 2014","186 [159-235]","33 000 [28 000 - 41 000]"
"Eastern Mediterranean"," 2013","190 [164-238]","33 000 [29 000 - 42 000]"
"Eastern Mediterranean"," 2012","199 [172-247]","34 000 [30 000 - 43 000]"
"Eastern Mediterranean"," 2011","208 [181-256]","35 000 [31 000 - 43 000]"
"Eastern Mediterranean"," 2010","220 [191-268]","37 000 [32 000 - 45 000]"
"Eastern Mediterranean"," 2009","230 [201-279]","38 000 [33 000 - 46 000]"
"Eastern Mediterranean"," 2008","241 [211-289]","39 000 [34 000 - 47 000]"
"Eastern Mediterranean"," 2007","255 [225-304]","40 000 [36 000 - 48 000]"
"Eastern Mediterranean"," 2006","267 [235-316]","41 000 [36 000 - 49 000]"
"Eastern Mediterranean"," 2005","275 [239-333]","42 000 [37 000 - 51 000]"
"Eastern Mediterranean"," 2004","286 [251-338]","43 000 [38 000 - 51 000]"
"Eastern Mediterranean"," 2003","298 [261-352]","45 000 [39 000 - 53 000]"
"Eastern Mediterranean"," 2002","306 [267-362]","45 000 [39 000 - 53 000]"
"Eastern Mediterranean"," 2001","319 [278-378]","47 000 [41 000 - 55 000]"
